# ----------------------------------------
# 1 Master View
# Location
# 20171001-20171031
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Mountain View,"Oct 1, 2017 - Oct 31, 2017",All Users,"3,155","2,151","4,585",20.68%,6.67,00:03:39,295,"$64,865.96",6.43%,53.04%
Mountain View,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,401,342,536,35.63%,4.18,00:02:42,14,"$2,677.23",2.61%,25.75%
Mountain View,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,391,208,855,10.41%,11.45,00:07:15,295,"$64,865.96",34.50%,153.22%
Mountain View,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,222,178,260,35.77%,4.73,00:02:57,3,$156.27,1.15%,11.92%
New York,"Oct 1, 2017 - Oct 31, 2017",All Users,"2,413","2,037","3,244",39.95%,5.24,00:02:56,151,"$25,518.76",4.65%,37.05%
New York,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,393,347,512,43.75%,4.67,00:03:01,12,"$2,196.50",2.34%,31.25%
New York,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,166,94,351,7.98%,13.38,00:08:35,151,"$25,518.76",43.02%,182.91%
New York,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,887,814,"1,137",66.49%,2.72,00:01:28,2,$130.97,0.18%,6.33%
San Francisco,"Oct 1, 2017 - Oct 31, 2017",All Users,"1,888","1,503","2,515",32.56%,6.05,00:03:58,165,"$33,374.35",6.56%,45.37%
San Francisco,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,411,362,491,40.12%,4.78,00:03:41,16,"$3,746.33",3.26%,31.36%
San Francisco,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,181,103,375,9.87%,13.21,00:09:01,165,"$33,374.35",44.00%,183.20%
San Francisco,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,725,618,890,51.12%,3.50,00:02:08,1,$6.99,0.11%,8.09%
Sunnyvale,"Oct 1, 2017 - Oct 31, 2017",All Users,"1,624","1,064","2,420",19.88%,7.20,00:04:10,171,"$38,607.07",7.07%,58.26%
Sunnyvale,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,202,162,262,34.35%,5.58,00:03:04,12,"$2,191.86",4.58%,38.93%
Sunnyvale,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,225,107,514,9.53%,11.48,00:07:36,171,"$38,607.07",33.27%,147.86%
Sunnyvale,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,139,112,160,36.25%,4.84,00:02:43,0,$0.00,0.00%,15.00%
(not set),"Oct 1, 2017 - Oct 31, 2017",All Users,"1,489","1,405","1,656",73.73%,2.54,00:01:12,7,"$3,104.51",0.42%,9.48%
(not set),"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,738,729,767,87.48%,1.85,00:00:37,5,$960.38,0.65%,6.78%
(not set),"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,11,7,15,6.67%,18.33,00:08:36,7,"$3,104.51",46.67%,226.67%
(not set),"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,822,769,942,81.95%,1.83,00:00:48,1,$119.00,0.11%,3.40%
San Jose,"Oct 1, 2017 - Oct 31, 2017",All Users,"1,108",840,"1,473",31.84%,6.66,00:03:48,76,"$13,819.55",5.16%,46.98%
San Jose,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,193,169,234,52.14%,4.24,00:02:05,3,$676.00,1.28%,21.37%
San Jose,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,92,49,183,6.56%,13.60,00:09:14,76,"$13,819.55",41.53%,185.25%
San Jose,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,403,354,532,53.01%,3.72,00:02:09,0,$0.00,0.00%,9.40%
Chicago,"Oct 1, 2017 - Oct 31, 2017",All Users,973,829,"1,413",48.76%,4.52,00:02:51,41,"$6,539.98",2.90%,27.11%
Chicago,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,182,161,245,46.53%,5.00,00:03:13,5,$861.71,2.04%,26.12%
Chicago,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,38,27,103,12.62%,14.06,00:10:01,41,"$6,539.98",39.81%,186.41%
Chicago,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,513,449,699,69.67%,2.59,00:01:25,4,$114.55,0.57%,6.87%
Los Angeles,"Oct 1, 2017 - Oct 31, 2017",All Users,742,623,959,42.75%,5.37,00:02:37,43,"$6,899.75",4.48%,33.79%
Los Angeles,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,114,103,132,49.24%,4.51,00:02:08,7,"$1,229.97",5.30%,34.09%
Los Angeles,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,47,27,91,10.99%,14.12,00:08:05,43,"$6,899.75",47.25%,179.12%
Los Angeles,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,346,300,435,63.22%,3.31,00:01:37,3,$459.49,0.69%,11.72%
Seattle,"Oct 1, 2017 - Oct 31, 2017",All Users,550,441,799,35.54%,6.34,00:03:34,58,"$12,118.79",7.26%,45.56%
Seattle,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,91,79,111,36.94%,5.44,00:03:26,5,$450.33,4.50%,40.54%
Seattle,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,53,33,144,6.94%,13.22,00:08:30,58,"$12,118.79",40.28%,159.72%
Seattle,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,184,160,255,65.88%,2.71,00:01:14,1,$5.70,0.39%,5.10%
Dallas,"Oct 1, 2017 - Oct 31, 2017",All Users,506,443,701,65.91%,2.83,00:01:35,5,$560.46,0.71%,8.99%
Dallas,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,64,55,80,45.00%,3.28,00:01:35,1,$250.00,1.25%,13.75%
Dallas,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,9,3,20,10.00%,16.30,00:09:19,5,$560.46,25.00%,115.00%
Dallas,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,423,373,594,73.23%,2.07,00:01:11,0,$0.00,0.00%,3.54%
Atlanta,"Oct 1, 2017 - Oct 31, 2017",All Users,480,419,632,52.53%,4.02,00:02:38,14,"$1,724.13",2.22%,21.20%
Atlanta,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,60,49,78,44.87%,3.53,00:02:29,3,$348.33,3.85%,23.08%
Atlanta,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,14,10,25,12.00%,17.12,00:12:19,14,"$1,724.13",56.00%,216.00%
Atlanta,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,294,262,383,67.36%,2.35,00:01:13,1,$12.96,0.26%,4.70%
Houston,"Oct 1, 2017 - Oct 31, 2017",All Users,455,407,612,66.18%,2.92,00:01:22,1,$249.00,0.16%,8.66%
Houston,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,43,35,55,50.91%,3.82,00:01:43,0,$0.00,0.00%,12.73%
Houston,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,2,1,2,0.00%,11.50,00:03:51,1,$249.00,50.00%,200.00%
Houston,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,347,307,494,74.49%,2.16,00:01:00,0,$0.00,0.00%,3.64%
Austin,"Oct 1, 2017 - Oct 31, 2017",All Users,429,347,662,30.21%,7.74,00:04:44,51,"$9,687.96",7.70%,62.24%
Austin,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,106,94,138,32.61%,11.01,00:07:02,7,"$2,570.41",5.07%,70.29%
Austin,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,48,35,109,3.67%,13.28,00:08:56,51,"$9,687.96",46.79%,185.32%
Austin,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,95,82,122,61.48%,3.34,00:02:26,1,$33.00,0.82%,17.21%
Washington,"Oct 1, 2017 - Oct 31, 2017",All Users,420,363,568,60.92%,2.91,00:01:39,7,$957.88,1.23%,11.44%
Washington,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,67,53,81,55.56%,2.23,00:01:18,0,$0.00,0.00%,2.47%
Washington,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,8,6,18,5.56%,11.22,00:09:07,7,$957.88,38.89%,150.00%
Washington,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,287,247,377,75.33%,1.97,00:01:01,0,$0.00,0.00%,2.65%
San Diego,"Oct 1, 2017 - Oct 31, 2017",All Users,413,352,532,51.69%,4.51,00:02:00,18,"$3,731.00",3.38%,27.44%
San Diego,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,55,42,82,48.78%,4.55,00:02:30,6,"$1,461.52",7.32%,45.12%
San Diego,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,20,12,36,19.44%,17.47,00:08:39,18,"$3,731.00",50.00%,230.56%
San Diego,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,217,184,279,70.25%,2.41,00:00:59,1,$758.82,0.36%,5.02%
Philadelphia,"Oct 1, 2017 - Oct 31, 2017",All Users,413,390,548,50.18%,2.74,00:01:48,3,$299.99,0.55%,9.85%
Philadelphia,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,35,32,42,38.10%,4.00,00:02:11,1,$199.00,2.38%,26.19%
Philadelphia,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,4,3,7,14.29%,11.86,00:06:01,3,$299.99,42.86%,185.71%
Philadelphia,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,179,160,235,75.74%,1.78,00:01:05,0,$0.00,0.00%,3.40%
Palo Alto,"Oct 1, 2017 - Oct 31, 2017",All Users,379,223,595,20.84%,6.80,00:03:49,76,"$16,349.72",12.77%,69.75%
Palo Alto,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,73,53,98,37.76%,5.01,00:02:16,6,"$1,475.48",6.12%,39.80%
Palo Alto,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,94,39,177,8.47%,9.95,00:06:25,76,"$16,349.72",42.94%,157.06%
Palo Alto,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,25,20,30,50.00%,3.83,00:01:02,1,$249.00,3.33%,23.33%
Santa Clara,"Oct 1, 2017 - Oct 31, 2017",All Users,350,266,449,26.73%,6.89,00:03:56,30,"$6,761.56",6.68%,56.57%
Santa Clara,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,57,46,68,47.06%,3.93,00:01:38,1,$199.00,1.47%,22.06%
Santa Clara,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,38,21,79,10.13%,8.95,00:06:16,30,"$6,761.56",37.97%,151.90%
Santa Clara,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,89,79,102,53.92%,3.29,00:01:30,0,$0.00,0.00%,4.90%
Boston,"Oct 1, 2017 - Oct 31, 2017",All Users,305,266,417,59.95%,3.17,00:01:52,10,"$2,605.43",2.40%,15.35%
Boston,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,45,42,56,51.79%,3.52,00:04:36,2,"$1,106.00",3.57%,17.86%
Boston,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,10,4,14,14.29%,19.00,00:08:18,10,"$2,605.43",71.43%,264.29%
Boston,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,161,140,243,76.13%,1.70,00:00:39,0,$0.00,0.00%,1.23%
Charlotte,"Oct 1, 2017 - Oct 31, 2017",All Users,273,231,365,68.22%,2.58,00:01:17,1,$10.97,0.27%,9.59%
Charlotte,"Oct 1, 2017 - Oct 31, 2017",Direct Traffic,29,23,38,57.89%,3.29,00:01:27,0,$0.00,0.00%,5.26%
Charlotte,"Oct 1, 2017 - Oct 31, 2017",Made a Purchase,3,2,4,50.00%,7.50,00:02:57,1,$10.97,25.00%,125.00%
Charlotte,"Oct 1, 2017 - Oct 31, 2017",Mobile and Tablet Traffic,216,183,289,76.12%,2.00,00:00:56,1,$10.97,0.35%,4.15%
